white wine quality database, 0=undrinkable, 1=undrinkable, 2=undrinkable, 3=poor, 4=below average, 5=average, 6=above average, 7=good, 8=great, 9=superb, 10=unrivaled
1000,5,6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9
1001,5,6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8
1002,5,6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5
1003,5,6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2
1004,5,8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8
1005,5,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8
1006,5,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8
1007,5,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8
1008,5,6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8
1009,5,8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9
1010,5,6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8
1011,5,6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2
1012,5,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7
1013,5,8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6
1014,5,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7
1015,5,6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9
1016,5,6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8
1017,5,6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10
1018,5,9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6
1019,5,8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6
1020,5,6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6
1021,5,6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4
1022,5,7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3
1023,5,6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4
1024,5,6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4
1025,5,7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8
1026,5,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4
1027,5,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6
1028,5,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4
1029,5,7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9
1030,5,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4
1031,5,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4
1032,5,7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9
1033,5,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7
1034,5,6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5
1035,5,6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4
1036,5,6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6
1037,5,7.7,0.3,0.26,18.95,0.053,36,174,0.99976,3.2,0.5,10.4
1038,5,7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8
1039,5,6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8
1040,5,8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6
1041,5,7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8
1042,5,7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8
1043,5,6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4
1044,5,6.3,0.27,0.46,11.1,0.053,44,177,0.99691,3.18,0.67,9.4
1045,5,6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4
1046,5,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4
1047,5,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12
1048,5,6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7
1049,5,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4
1050,5,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12
1051,5,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8
1052,5,5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9
1053,5,6.8,0.44,0.2,16,0.065,61,186,0.99884,3.13,0.45,8.6
1054,5,7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9
1055,5,8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7
1056,5,7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9
1057,5,8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7
1058,5,6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6
1059,5,7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7
1060,5,8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3
1061,5,5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3
1062,5,7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5
1063,5,6.4,0.68,0.26,3.4,0.069,25,146,0.99347,3.18,0.4,9.3
1064,5,6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7
1065,5,6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4
1066,5,6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1
1067,5,8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3
1068,5,6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3
1069,5,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6
1070,5,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6
1071,5,6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2
1072,5,7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8
1073,5,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8
1074,5,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8
1075,5,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8
1076,5,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8
1077,5,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9
1078,5,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9
1079,5,5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10
1080,5,6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1
1081,5,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9
1082,5,8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3
1083,5,6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5
1084,5,6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2
1085,5,7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7
1086,5,7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10
1087,5,6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3
1088,5,6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3
1089,5,5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6
1090,5,6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2
1091,5,5.6,0.12,0.26,4.3,0.038,18,97,0.99477,3.36,0.46,9.2
1092,5,6,0.26,0.15,1.3,0.06,51,154,0.99354,3.14,0.51,8.7
1093,5,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7
1094,5,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7
1095,5,6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4
1096,5,6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2
1097,5,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1
1098,5,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1
1099,5,6.9,0.4,0.42,6.2,0.066,41,176,0.99552,3.12,0.54,9.4
1100,5,6.9,0.4,0.43,6.2,0.065,42,178,0.99552,3.11,0.53,9.4
1101,5,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2
1102,5,6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4
1103,5,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4
1104,5,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4
1105,5,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2
1106,5,6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4
1107,5,7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9
1108,5,7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9
1109,5,7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9
1110,5,6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11
1111,5,7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8
1112,5,6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2
1113,5,6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9
1114,5,6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5
1115,5,7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2
1116,5,6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8
1117,5,6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4
1118,5,8,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9
1119,5,5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7
1120,5,6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10
1121,5,7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5
1122,5,6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9
1123,5,7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10
1124,5,7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9
1125,5,6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6
1126,5,6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7
1127,5,6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3
1128,5,7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7
1129,5,7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9
1130,5,6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5
1131,5,6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5
1132,5,6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9
1133,5,6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10
1134,5,7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3
1135,5,6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9
1136,5,8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1
1137,5,6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9
1138,5,6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4
1139,5,7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8
1140,5,6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3
1141,5,6.1,0.37,0.2,7.6,0.031,49,170,0.99558,3.22,0.48,9.5
1142,5,6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4
1143,5,7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3
1144,5,6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7
1145,5,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1
1146,5,5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8
1147,5,5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8
1148,5,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1
1149,5,7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6
1150,5,6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3
1151,5,6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9
1152,5,7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10
1153,5,6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9
1154,5,6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9
1155,5,7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3
1156,5,7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10
1157,5,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2
1158,5,5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6
1159,5,8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5
1160,5,8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5
1161,5,7.3,0.26,0.24,1.7,0.05,10,112,0.99286,3.11,0.43,9.9
1162,5,6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5
1163,5,8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7
1164,5,7.4,0.32,0.22,11.7,0.035,44,150,0.99578,3.1,0.45,10.4
1165,5,6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9
1166,5,6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4
1167,5,6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8
1168,5,7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9
1169,5,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4
1170,5,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4
1171,5,7.6,0.17,0.36,4.5,0.042,26,102,0.99427,3.09,0.47,9.5
1172,5,6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4
1173,5,7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7
1174,5,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1
1175,5,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4
1176,5,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4
1177,5,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4
1178,5,7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9
1179,5,7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9
1180,5,6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12
1181,5,6.6,0.25,0.33,8.5,0.042,29,141,0.99546,3.28,0.6,10.4
1182,5,6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6
1183,5,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1
1184,5,7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1
1185,5,6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12
1186,5,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4
1187,5,6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7
1188,5,7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1
1189,5,7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3
1190,5,7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4
1191,5,5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8
1192,5,7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4
1193,5,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2
1194,5,7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3
1195,5,7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11
1196,5,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8
1197,5,5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2
1198,5,5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2
1199,5,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5
1200,5,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5
1201,5,5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5
1202,5,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8
1203,5,6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2
1204,5,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8
1205,5,5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11
1206,5,6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1
1207,5,6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8
1208,5,6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6
1209,5,5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9
1210,5,6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8
1211,5,7.2,0.13,0.46,1.3,0.044,48,111,0.99127,2.97,0.45,11.1
1212,5,5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9
1213,5,9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9
1214,5,6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5
1215,5,7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8
1216,5,7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8
1217,5,7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4
1218,5,6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13
1219,5,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4
1220,5,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2
1221,5,6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9
1222,5,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4
1223,5,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2
1224,5,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4
1225,5,7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4
1226,5,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4
1227,5,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4
1228,5,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4
1229,5,6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2
1230,5,7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4
1231,5,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4
1232,5,7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4
1233,5,6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2
1234,5,6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5
1235,5,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1
1236,5,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5
1237,5,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2
1238,5,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2
1239,5,6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1
1240,5,6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1
1241,5,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5
1242,5,8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2
1243,5,8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4
1244,5,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5
1245,5,7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5
1246,5,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1
1247,5,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1
1248,5,7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5
1249,5,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4
1250,5,6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1
1251,5,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4
1252,5,6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12
1253,5,7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1
1254,5,6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1
1255,5,8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10
1256,5,5.8,0.54,0,1.4,0.033,40,107,0.98918,3.26,0.35,12.4
1257,5,6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6
1258,5,6.9,0.29,0.41,7.8,0.046,52,171,0.99537,3.12,0.51,9.6
1259,5,6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8
1260,5,5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4
1261,5,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1
1262,5,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1
1263,5,7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1
1264,5,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1
1265,5,6.6,0.32,0.41,7.2,0.048,55,178,0.99537,3.2,0.46,9.4
1266,5,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1
1267,5,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7
1268,5,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2
1269,5,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7
1270,5,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2
1271,5,6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1
1272,5,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9
1273,5,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9
1274,5,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6
1275,5,7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1
1276,5,6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8
1277,5,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4
1278,5,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2
1279,5,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4
1280,5,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2
1281,5,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3
1282,5,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4
1283,5,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3
1284,5,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4
1285,5,6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5
1286,5,7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1
1287,5,6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2
1288,5,6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1
1289,5,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7
1290,5,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8
1291,5,6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8
1292,5,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7
1293,5,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8
1294,5,7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1
1295,5,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2
1296,5,7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9
1297,5,6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1
1298,5,4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6
1299,5,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2
1300,5,6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8
1301,5,6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2
1302,5,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2
1303,5,6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5
1304,5,7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8
1305,5,7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8
1306,5,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3
